Game,Current Players,Peak Players (24h),All Time Peak
Counter-Strike 2,685079,1346206,1818773
PUBG: BATTLEGROUNDS,312893,713872,3257248
Dota 2,296580,593095,1295114
Banana,391578,434161,917272
NARAKA: BLADEPOINT,129217,307151,385770
THRONE AND LIBERTY,111332,226253,336300
Source SDK Base 2007,75069,188450,221857
Black Myth: Wukong,74913,179349,2415714
Stardew Valley,71983,160710,236614
Apex Legends,73049,154930,624473
Grand Theft Auto V,69576,129387,364548
Wallpaper Engine,76806,117902,150375
Rust,51695,113868,245243
EA SPORTS FC 25,25232,84600,110026
Liar's Bar,21858,81440,82780
Baldur's Gate 3,32849,80340,875343
War Thunder,37312,78866,121318
Deadlock,31257,78558,171490
Satisfactory,32765,78354,186158
Team Fortress 2,38140,77605,253997
Monster Hunter: World,29542,71863,334684
Metaphor: ReFantazio,37551,71256,85961
DRAGON BALL: Sparking! ZERO,24704,68509,122554
Warframe,38882,65443,189837
Once Human,33434,64620,231668
Call of Duty®,25552,63896,491670
DayZ,27101,60111,73418
Football Manager 2024,33473,59141,89478
Destiny 2,26553,56640,316750
New World: Aeternum,23765,54028,913634
Tom Clancy's Rainbow Six Siege,21624,52992,201933
Spacewar,20205,51766,102705
HELLDIVERS™ 2,17064,48182,458709
Sid Meier's Civilization VI,29725,47572,162657
Overwatch® 2,26221,47257,75608
Hearts of Iron IV,23501,47075,78108
Crosshair X,22270,43423,51280
Crab Game,33621,43382,75967
Dead by Daylight,20148,43178,105093
TCG Card Shop Simulator,26565,42911,50450
ELDEN RING,21805,42698,953426
Diablo® IV,23661,41874,55561
Delta Force Demo,13326,39770,39770
Don't Starve Together,19148,38833,115925
Euro Truck Simulator 2,13264,37576,69754
VRChat,23864,37495,52956
Farming Simulator 22,12226,37020,105636
7 Days to Die,18337,35547,125419
Cyberpunk 2077,18416,33629,1054388
tModLoader,16758,33390,47602
The Sims™ 4,17084,32842,96328
Goose Goose Duck,4909,32176,702845
"Warhammer 40,000: Space Marine 2",11587,30826,225690
Cats,30268,30453,90669
ARK: Survival Evolved,15963,30371,248405
Terraria,15363,29433,489886
Rocket League,7013,29321,147632
Red Dead Redemption 2,15233,28352,77655
Yu-Gi-Oh!  Master Duel,23324,27133,262689
Street Fighter™ 6,11689,26973,70573
The First Descendant,15007,26381,264860
Crusader Kings III,13745,25588,98872
Project Zomboid,13225,25477,65505
Lost Ark,1237,25447,1325305
Valheim,7912,25074,502387
Eternal Return,10152,25027,52853
FINAL FANTASY XIV Online,10342,24682,95150
Left 4 Dead 2,10306,24379,162399
RimWorld,16176,24083,62257
Garry's Mod,9747,23605,73863
NBA 2K25,12778,23500,40856
The Elder Scrolls V: Skyrim Special Edition,11852,23165,69906
Mount & Blade II: Bannerlord,12610,23080,248216
Total War: WARHAMMER III,11877,22723,166754
SCUM,14015,22276,68322
Battlefield™ V,9478,22248,116104
EA SPORTS FC™ 24,9192,21801,107359
Palworld,12111,21381,2101867
BeamNG.drive,8103,20105,29041
FragPunk Playtest,8820,19499,22331
The Binding of Isaac: Rebirth,10209,19431,70701
Dark and Darker,10910,18710,57164
THE FINALS,8718,18504,242619
Kingdom Two Crowns,8970,18482,26623
Age of Empires II: Definitive Edition,9471,18449,38725
Europa Universalis IV,9852,18345,48165
Phasmophobia,4780,18271,112717
Sid Meier's Civilization V,10834,18030,91363
Squad,8698,17883,38573
Geometry Dash,7904,17417,88346
ARK: Survival Ascended,10182,17234,98047
STALCRAFT: X,973,17205,38437
Unturned,12221,17129,112703
Russian Fishing 4,10357,17048,24544
SUPERVIVE Demo,5261,16887,16887
Factorio,8378,16719,34700
The Witcher 3: Wild Hunt,8211,16626,103329
Soundpad,7948,16572,21920
MONSTER HUNTER RISE,6836,16501,231360
Supermarket Together,5500,16431,47836
